project_type,client_industry,estimated_timeline_months,team_size,complexity_score,revision_count,developer_experience_level,final_billed_amount
Blockchain Solution,Retail,9,15,2,10,4,24699210.58
Cloud Migration,Finance,4,15,2,3,1,11570414.73
ERP System,Retail,8,6,5,0,1,11195329.86
Data Engineering Pipeline,Finance,13,8,1,0,3,13442595.06
AI/ML Solution,Education,4,2,1,5,5,1223988.94
CRM System,Education,9,3,2,3,4,2647049.37
AI/ML Solution,Startup,9,10,5,3,5,23248182.25
Cloud Migration,Retail,18,13,2,2,5,23295350.29
CRM System,Finance,12,4,1,8,5,9955668.45
Data Engineering Pipeline,Education,10,7,3,2,5,9588603.16
Cloud Migration,Healthcare,11,8,1,7,5,15108356.77
Mobile Application,Education,7,10,3,1,1,8484450.0
ERP System,Healthcare,9,6,4,3,2,16123496.35
Data Engineering Pipeline,Finance,6,5,5,0,4,8714876.66
Blockchain Solution,Education,16,12,4,10,4,108452014.33
SaaS Product,Education,15,13,1,4,1,50716860.99
Mobile Application,Finance,7,3,5,1,1,3921088.96
Business Intelligence Dashboard,Education,16,4,1,10,5,5049317.65
Data Engineering Pipeline,Healthcare,5,6,5,0,2,7415972.25
Business Intelligence Dashboard,Education,16,12,5,0,4,34279754.26
CRM System,Retail,1,14,1,1,3,1842476.54
Mobile Application,Startup,5,3,1,4,1,1175778.15
ERP System,Healthcare,7,14,5,8,3,30974573.3
Blockchain Solution,Retail,5,5,5,5,4,6939427.43
Legacy System Modernization,Finance,17,2,1,3,1,5921565.09
Blockchain Solution,Healthcare,8,5,1,2,4,8345472.4
Cloud Migration,Startup,1,8,2,7,1,1417486.25
Blockchain Solution,Startup,2,15,2,2,4,4256148.82
E-commerce Platform,Finance,15,13,2,0,3,32587050.92
Cybersecurity Implementation,Finance,18,4,4,3,2,24587006.3
Legacy System Modernization,Healthcare,11,11,5,10,1,39143659.21
AI/ML Solution,Education,10,9,3,4,3,32003347.05
SaaS Product,Finance,4,7,4,4,4,7881074.49
Web Application,Education,5,7,5,4,3,4370133.8
ERP System,Retail,4,15,3,7,1,11336377.29
Mobile Application,Startup,13,2,2,7,3,2914305.79
Cybersecurity Implementation,Education,13,6,3,3,4,10356793.92
ERP System,Startup,18,4,1,8,5,8606635.21
Mobile Application,Education,2,11,1,0,2,2236409.7
SaaS Product,Retail,16,2,5,4,2,7063488.41
DevOps Automation,Finance,1,9,4,4,5,2191334.48
DevOps Automation,Retail,9,8,2,4,1,8874587.73
Business Intelligence Dashboard,Finance,3,8,5,7,3,5400221.39
ERP System,Finance,7,13,2,8,3,22633995.74
DevOps Automation,Startup,10,11,1,2,5,26179422.99
E-commerce Platform,Retail,1,15,4,8,5,2741320.54
Legacy System Modernization,Education,10,11,4,10,4,17516739.12
Mobile Application,Retail,9,11,1,7,4,11167443.05
Business Intelligence Dashboard,Startup,15,5,3,2,2,5530054.21
Blockchain Solution,Finance,15,14,4,1,1,72452301.77
Mobile Application,Startup,3,12,3,3,1,3839124.2
Business Intelligence Dashboard,Healthcare,5,7,2,1,5,4161418.22
SaaS Product,Healthcare,9,14,4,3,2,33010754.26
ERP System,Education,9,10,1,4,2,11907634.88
SaaS Product,Startup,7,15,3,1,4,13613523.24
Legacy System Modernization,Education,12,4,2,7,3,4398499.77
Legacy System Modernization,Education,9,10,2,0,1,12689827.49
Cybersecurity Implementation,Healthcare,6,5,4,2,2,7507091.44
SaaS Product,Education,2,6,4,6,4,1845358.19
Cloud Migration,Healthcare,9,8,5,9,4,22868249.59
Blockchain Solution,Finance,17,7,5,0,4,46671783.93
Data Engineering Pipeline,Startup,1,11,4,10,3,2006508.2
SaaS Product,Education,6,9,5,1,2,11135235.98
Cybersecurity Implementation,Healthcare,5,9,1,2,5,5409444.98
CRM System,Retail,2,9,1,1,5,2211314.61
E-commerce Platform,Education,9,4,5,1,4,7236797.27
Mobile Application,Finance,14,15,4,10,4,44734860.63
Legacy System Modernization,Finance,4,11,1,5,3,6921992.72
CRM System,Retail,4,7,2,6,4,5340573.18
Cybersecurity Implementation,Healthcare,15,8,4,5,2,29932271.64
Business Intelligence Dashboard,Education,8,10,3,10,4,10373341.34
Data Engineering Pipeline,Healthcare,4,11,3,5,4,11230994.88
Blockchain Solution,Finance,16,11,4,8,2,53479162.09
Blockchain Solution,Healthcare,4,15,5,7,1,17750124.0
Blockchain Solution,Finance,16,13,1,7,5,39056276.23
E-commerce Platform,Healthcare,12,5,1,5,4,6523067.23
Data Engineering Pipeline,Retail,16,6,4,4,2,18873899.02
E-commerce Platform,Startup,8,9,2,8,5,9265430.51
Legacy System Modernization,Retail,6,2,5,1,3,2432704.42
E-commerce Platform,Retail,10,13,2,6,1,16776450.57
Web Application,Startup,5,7,4,5,4,4024306.68
Data Engineering Pipeline,Startup,18,5,4,6,1,14708894.04
Cloud Migration,Education,10,6,2,3,4,8476223.75
Data Engineering Pipeline,Education,10,12,3,8,4,22949581.57
Cybersecurity Implementation,Retail,7,6,4,6,4,9712138.33
Web Application,Retail,18,3,5,1,1,8713448.25
Blockchain Solution,Finance,1,9,2,3,3,2360370.4
Cybersecurity Implementation,Finance,7,3,3,4,2,5721179.45
Cybersecurity Implementation,Education,1,5,2,1,2,744480.37
Legacy System Modernization,Education,15,13,3,9,3,29033566.37
IoT System,Finance,4,14,3,7,3,11679643.49
AI/ML Solution,Finance,10,6,5,0,4,16340897.31
Web Application,Healthcare,9,15,4,2,4,27205291.19
Cybersecurity Implementation,Healthcare,2,2,3,0,2,1007355.26
AI/ML Solution,Finance,14,7,4,4,4,33192985.1
AI/ML Solution,Healthcare,16,3,5,7,4,19849617.72
Web Application,Startup,1,15,4,6,3,1800944.04
IoT System,Education,2,6,1,8,1,1158779.04
CRM System,Education,7,7,3,1,5,5909996.79
Business Intelligence Dashboard,Finance,10,12,5,7,5,35780498.19
Cloud Migration,Retail,1,9,2,7,4,1344524.65
Business Intelligence Dashboard,Finance,13,10,5,5,4,32706875.82
Data Engineering Pipeline,Healthcare,1,14,3,2,5,3034432.58
Blockchain Solution,Retail,5,13,5,1,3,17786368.02
Cloud Migration,Healthcare,16,7,2,7,5,23632850.8
Data Engineering Pipeline,Startup,15,6,1,5,5,8174843.56
Cybersecurity Implementation,Healthcare,17,13,3,3,5,49967761.0
Blockchain Solution,Startup,16,5,3,4,4,11160768.82
Mobile Application,Startup,13,3,5,4,4,12756156.31
Web Application,Healthcare,11,3,4,8,5,4407434.44
Cloud Migration,Healthcare,17,8,4,8,4,40647932.62
Cloud Migration,Startup,17,6,2,7,5,12907321.18
SaaS Product,Retail,2,8,1,7,3,1716469.31
Cybersecurity Implementation,Startup,13,14,1,1,4,19627198.53
CRM System,Education,14,12,5,2,1,32706165.71
AI/ML Solution,Startup,11,2,5,7,4,5996076.22
Blockchain Solution,Retail,10,2,4,4,3,5124259.56
Cybersecurity Implementation,Education,3,6,1,6,3,2123625.77
DevOps Automation,Finance,17,3,1,7,4,8060646.82
IoT System,Finance,15,9,1,5,2,25627085.87
AI/ML Solution,Retail,9,15,2,4,5,24118744.42
Web Application,Startup,10,4,2,7,5,4118807.5
AI/ML Solution,Healthcare,8,2,5,0,3,5177391.24
CRM System,Retail,13,14,4,0,4,31238888.45
Legacy System Modernization,Education,18,3,3,0,2,5671586.89
SaaS Product,Education,5,11,4,2,1,24160794.64
AI/ML Solution,Finance,6,11,2,9,5,16907241.41
Web Application,Education,17,8,2,5,2,14119173.01
CRM System,Retail,11,7,5,5,5,17888412.16
Business Intelligence Dashboard,Education,16,13,3,4,4,23721989.58
Cloud Migration,Retail,9,9,1,6,5,10904095.54
Legacy System Modernization,Healthcare,2,8,3,4,1,6697621.67
SaaS Product,Finance,5,15,3,1,4,19018812.01
Cloud Migration,Education,1,11,3,3,3,990115.02
IoT System,Retail,4,14,5,0,2,12037145.94
Data Engineering Pipeline,Startup,4,9,2,6,5,4523362.36
Legacy System Modernization,Finance,3,4,1,3,4,1711103.3
Legacy System Modernization,Healthcare,9,7,3,3,4,10151104.96
Business Intelligence Dashboard,Retail,12,14,1,3,5,14414466.57
Business Intelligence Dashboard,Healthcare,10,8,3,2,3,9878544.06
Blockchain Solution,Healthcare,2,11,2,7,5,5887636.94
E-commerce Platform,Education,11,12,1,3,3,27348473.39
AI/ML Solution,Education,10,2,4,7,5,4228871.98
Legacy System Modernization,Retail,6,2,2,8,4,1614407.26
Cloud Migration,Startup,18,8,1,0,1,14983123.99
Web Application,Retail,2,14,3,3,1,3380694.84
ERP System,Startup,2,12,3,5,4,3878288.14
E-commerce Platform,Healthcare,10,14,2,7,1,58550595.93
ERP System,Finance,16,4,2,5,3,15039030.06
SaaS Product,Retail,12,4,3,5,4,6677336.11
CRM System,Retail,1,6,1,9,3,942434.63
Cloud Migration,Startup,8,12,4,3,4,14938286.24
Cloud Migration,Healthcare,16,7,5,8,3,32178801.56
E-commerce Platform,Healthcare,18,3,2,6,3,21406187.32
Legacy System Modernization,Startup,13,4,3,10,1,6619937.36
IoT System,Healthcare,15,7,1,5,4,17227663.36
E-commerce Platform,Education,12,4,2,0,5,4863552.67
ERP System,Finance,8,15,1,1,1,19276368.09
E-commerce Platform,Retail,10,6,2,5,3,6713737.17
Cloud Migration,Finance,14,10,3,10,3,27652995.52
IoT System,Retail,5,13,1,0,5,9186424.82
AI/ML Solution,Education,18,4,3,10,5,15110565.07
DevOps Automation,Healthcare,15,13,1,4,3,27710382.58
Blockchain Solution,Startup,6,12,2,0,5,11108163.76
Mobile Application,Education,11,14,5,2,2,24145100.62
Business Intelligence Dashboard,Finance,11,14,5,6,1,40292915.72
E-commerce Platform,Startup,18,7,4,4,4,16387621.55
SaaS Product,Healthcare,18,12,4,9,5,68342297.89
Data Engineering Pipeline,Education,10,6,3,0,5,8642406.68
CRM System,Startup,2,6,1,0,2,1190370.48
DevOps Automation,Education,9,12,4,7,4,16698390.37
Blockchain Solution,Education,14,15,2,10,2,42751141.32
Blockchain Solution,Healthcare,10,15,5,8,4,64241758.31
Blockchain Solution,Retail,4,7,1,6,1,2946652.02
Blockchain Solution,Startup,6,7,5,2,5,9627547.42
ERP System,Healthcare,14,2,1,5,1,5234889.01
SaaS Product,Education,4,12,4,2,4,6101397.64
SaaS Product,Healthcare,15,10,4,9,5,47395004.51
IoT System,Retail,16,6,3,3,2,15336457.13
Business Intelligence Dashboard,Startup,7,2,1,3,3,1122640.08
Cloud Migration,Retail,17,9,2,2,2,20629364.03
Blockchain Solution,Finance,17,8,4,9,3,54164503.04
Data Engineering Pipeline,Startup,6,8,3,5,2,6207223.08
Cloud Migration,Retail,11,15,4,4,4,26896417.37
SaaS Product,Education,16,6,5,10,1,24226182.6
Web Application,Startup,8,2,4,8,3,1976583.29
Web Application,Startup,11,10,1,8,4,10142990.0
Data Engineering Pipeline,Healthcare,7,12,3,2,1,14440529.89
IoT System,Education,10,10,1,8,1,13860863.44
SaaS Product,Finance,9,9,2,2,5,13926371.12
Data Engineering Pipeline,Retail,4,6,2,3,5,3172502.48
ERP System,Healthcare,15,15,4,0,5,46646007.53
E-commerce Platform,Retail,13,4,3,4,3,7603050.1
Data Engineering Pipeline,Finance,2,9,3,8,3,3194858.19
AI/ML Solution,Finance,2,2,3,1,1,999964.11
Cloud Migration,Startup,16,4,3,3,3,9044047.88
DevOps Automation,Finance,9,13,4,9,1,35481874.96
Cybersecurity Implementation,Retail,13,12,1,1,4,22223884.51
IoT System,Education,3,8,4,7,2,4959932.1
Data Engineering Pipeline,Education,9,15,1,8,1,14794671.63
SaaS Product,Startup,13,5,5,2,1,12297493.36
CRM System,Retail,2,8,5,8,4,4158904.01
Web Application,Retail,8,13,1,5,5,10460665.75
AI/ML Solution,Finance,9,12,4,5,5,30629206.44
Business Intelligence Dashboard,Retail,16,14,2,6,5,26876614.75
Blockchain Solution,Healthcare,2,15,4,4,1,9321335.2
Cybersecurity Implementation,Finance,6,6,2,5,1,5896996.3
Legacy System Modernization,Healthcare,8,7,4,10,3,13770785.71
IoT System,Startup,5,15,3,0,3,8268996.51
DevOps Automation,Education,9,8,3,2,2,8627156.8
Cybersecurity Implementation,Startup,1,14,5,8,2,3236343.05
Data Engineering Pipeline,Education,9,11,5,4,3,23441390.75
ERP System,Startup,10,13,1,4,1,15278681.43
Web Application,Retail,4,8,2,7,4,4082900.78
SaaS Product,Healthcare,3,8,3,10,3,5824467.14
Web Application,Education,10,8,4,10,1,10508858.11
Business Intelligence Dashboard,Finance,15,12,1,1,3,23086429.08
ERP System,Healthcare,11,14,4,6,5,45633921.02
Blockchain Solution,Finance,14,14,3,8,3,44009590.18
SaaS Product,Healthcare,6,8,3,6,5,10254361.63
Cloud Migration,Healthcare,12,4,3,4,1,8921204.02
Mobile Application,Startup,13,13,3,5,5,13073026.48
AI/ML Solution,Education,17,4,4,3,3,9967370.6
Web Application,Education,16,8,1,6,5,10802111.31
CRM System,Healthcare,3,15,3,0,4,7687475.3
Web Application,Retail,2,3,5,3,5,1164317.9
Cybersecurity Implementation,Retail,11,15,1,2,5,24011180.2
Web Application,Finance,9,3,5,3,2,7537080.76
IoT System,Finance,3,4,4,0,4,2719912.89
Web Application,Startup,18,15,3,1,1,26584644.36
Mobile Application,Healthcare,15,5,1,10,5,10606105.64
Mobile Application,Finance,14,7,3,8,4,19545826.07
Blockchain Solution,Finance,2,14,3,6,1,21882684.6
DevOps Automation,Healthcare,17,9,1,5,4,18684870.63
Cloud Migration,Startup,8,11,3,1,2,11088515.39
CRM System,Finance,10,11,3,0,1,15479305.57
Web Application,Startup,18,8,2,1,1,11468395.65
Web Application,Education,8,5,2,6,5,3251661.78
AI/ML Solution,Startup,8,3,1,1,3,2386937.04
SaaS Product,Retail,3,3,1,2,1,1305955.72
Mobile Application,Retail,3,5,3,7,1,2277076.94
CRM System,Startup,12,7,5,6,2,13729191.5
Blockchain Solution,Retail,17,4,1,10,2,12546286.76
Business Intelligence Dashboard,Education,4,7,3,10,2,4176710.91
DevOps Automation,Healthcare,17,6,5,10,5,30761046.77
Cloud Migration,Retail,14,6,2,8,1,30500090.83
ERP System,Retail,9,3,1,3,2,7178221.96
Cloud Migration,Startup,12,9,3,6,2,14726569.26
IoT System,Education,5,6,2,0,4,4070103.47
Cybersecurity Implementation,Healthcare,11,12,4,10,4,42413996.32
IoT System,Startup,3,3,2,10,2,1383993.91
Web Application,Startup,15,8,3,1,5,12098170.87
Legacy System Modernization,Education,14,14,5,6,3,43286667.15
DevOps Automation,Healthcare,11,10,4,1,4,23806743.08
Cybersecurity Implementation,Education,8,10,4,5,4,15262127.65
CRM System,Healthcare,4,2,4,9,1,1917891.56
ERP System,Education,12,8,1,8,1,13546461.3
Mobile Application,Startup,8,10,3,10,2,11377843.1
DevOps Automation,Startup,6,7,4,4,1,5864041.25
DevOps Automation,Finance,15,2,2,9,1,4660216.3
IoT System,Retail,12,3,5,6,3,9687747.32
Legacy System Modernization,Education,16,5,3,0,5,28898219.93
Web Application,Finance,16,15,2,7,2,37236073.16
Data Engineering Pipeline,Retail,4,5,1,8,3,3030545.28
Blockchain Solution,Education,11,3,4,4,2,6747887.45
IoT System,Healthcare,13,9,2,5,5,22078883.94
DevOps Automation,Retail,9,3,3,10,2,4444802.2
E-commerce Platform,Startup,4,4,2,7,1,2026379.9
AI/ML Solution,Finance,12,15,1,3,5,38954664.38
ERP System,Retail,9,5,5,1,3,8630445.07
Blockchain Solution,Retail,13,10,4,9,3,36945678.58
IoT System,Startup,16,11,3,7,4,23856063.97
ERP System,Education,6,2,4,1,3,2388267.07
AI/ML Solution,Healthcare,10,9,4,4,4,20662319.18
Business Intelligence Dashboard,Startup,13,13,4,5,1,21754075.87
AI/ML Solution,Healthcare,7,15,2,4,3,25069022.94
Legacy System Modernization,Education,17,6,2,5,5,13064676.76
AI/ML Solution,Retail,13,8,5,5,4,22069945.63
ERP System,Healthcare,13,9,1,2,3,17502174.87
Cloud Migration,Finance,2,6,3,10,1,3064386.35
ERP System,Finance,10,9,2,10,5,24421387.16
Data Engineering Pipeline,Startup,13,11,4,2,5,43279926.38
Web Application,Education,9,12,1,8,1,8132143.05
Cybersecurity Implementation,Startup,1,9,3,2,3,786641.37
Cloud Migration,Startup,14,10,3,2,2,16809743.66
Mobile Application,Startup,16,3,3,10,3,4307858.84
Cybersecurity Implementation,Finance,15,4,3,1,4,14540746.01
Web Application,Finance,1,2,5,6,4,342097.4
IoT System,Startup,17,5,3,9,3,13237182.75
Blockchain Solution,Finance,13,6,1,9,4,20854982.04
Data Engineering Pipeline,Education,15,12,2,3,2,27496250.86
Data Engineering Pipeline,Startup,16,2,1,0,2,3088707.07
Mobile Application,Finance,16,9,4,5,5,30127137.48
Cloud Migration,Healthcare,2,3,5,4,4,1776415.4
Legacy System Modernization,Startup,17,2,5,10,3,8398458.61
SaaS Product,Startup,11,3,4,1,5,3823518.53
Business Intelligence Dashboard,Education,8,14,1,5,2,12544833.42
AI/ML Solution,Retail,3,6,1,0,5,2719922.46
Cloud Migration,Retail,12,10,4,2,1,22821188.9
Blockchain Solution,Education,16,10,3,3,4,28044069.98
Business Intelligence Dashboard,Education,14,3,3,2,3,5386352.48
Data Engineering Pipeline,Education,16,3,2,5,2,6266020.86
ERP System,Retail,17,4,1,10,5,10354879.07
Blockchain Solution,Education,11,8,1,3,3,13521892.21
Web Application,Finance,17,12,4,0,4,35836573.28
Mobile Application,Startup,1,4,4,4,3,492946.39
Web Application,Startup,12,2,3,4,4,2351401.32
SaaS Product,Healthcare,15,15,1,8,4,38114481.69
Blockchain Solution,Healthcare,18,15,1,7,4,61239212.99
CRM System,Startup,14,15,5,7,5,40480305.92
CRM System,Finance,1,7,2,4,4,1172331.27
IoT System,Retail,13,4,2,7,3,6420035.27
Cloud Migration,Retail,15,2,3,9,1,5461563.86
Data Engineering Pipeline,Finance,7,15,1,6,3,19017808.5
Data Engineering Pipeline,Retail,15,14,5,0,5,49359546.4
AI/ML Solution,Education,10,5,1,6,4,6664667.7
AI/ML Solution,Startup,14,14,4,10,1,51631800.97
AI/ML Solution,Startup,6,2,3,7,5,3884201.43
ERP System,Finance,14,2,2,2,2,6860125.82
Cybersecurity Implementation,Retail,12,13,1,8,2,21417552.59
DevOps Automation,Healthcare,11,3,3,7,2,11630346.03
Cybersecurity Implementation,Healthcare,2,11,2,1,1,3141305.69
Web Application,Retail,1,9,1,5,3,896771.97
Cybersecurity Implementation,Healthcare,8,3,5,3,1,7568460.19
ERP System,Finance,14,12,3,2,1,29038744.61
IoT System,Finance,9,3,1,10,1,4816655.86
Web Application,Retail,2,12,2,5,2,2492105.36
Cybersecurity Implementation,Healthcare,5,12,2,9,3,13346061.33
ERP System,Finance,8,11,5,8,1,31435546.56
DevOps Automation,Finance,16,11,3,1,3,31922278.31
Cybersecurity Implementation,Education,16,9,3,9,4,18293594.02
ERP System,Education,13,13,1,9,1,27890542.43
SaaS Product,Finance,15,7,2,9,1,42684531.57
AI/ML Solution,Retail,1,13,2,4,1,2490691.97
SaaS Product,Startup,3,12,5,5,4,7381011.44
Data Engineering Pipeline,Startup,6,5,5,3,4,4999468.31
AI/ML Solution,Finance,14,4,3,6,2,16810919.55
Data Engineering Pipeline,Finance,4,2,2,1,5,1789060.91
E-commerce Platform,Finance,18,12,1,6,3,40041255.36
Mobile Application,Retail,15,4,4,1,5,9440420.07
SaaS Product,Education,9,13,1,0,1,13105294.23
Mobile Application,Finance,18,15,5,10,1,76967838.28
Mobile Application,Finance,3,10,1,4,2,4498673.82
DevOps Automation,Healthcare,10,6,2,1,5,17555239.33
AI/ML Solution,Retail,17,14,3,7,1,52833752.97
E-commerce Platform,Finance,7,7,4,7,5,11479743.6
Data Engineering Pipeline,Healthcare,15,6,3,0,2,16799249.55
ERP System,Startup,1,2,4,3,5,333119.72
Web Application,Finance,11,11,4,8,3,25756293.99
ERP System,Finance,17,2,2,4,2,7711041.93
Web Application,Healthcare,5,5,2,10,5,3596558.09
SaaS Product,Retail,7,4,5,9,1,5746510.04
CRM System,Finance,15,12,5,5,4,57500367.03
ERP System,Startup,3,9,4,2,4,5014229.83
Cybersecurity Implementation,Finance,15,13,5,4,2,73150329.9
Cybersecurity Implementation,Startup,5,13,2,0,4,8224084.11
Cloud Migration,Education,12,8,5,7,3,20256621.02
AI/ML Solution,Education,5,12,4,10,2,12732297.18
Web Application,Startup,3,8,3,5,1,2880493.98
Web Application,Retail,9,9,1,1,1,7333920.45
Blockchain Solution,Finance,9,15,5,3,2,63457874.33
IoT System,Finance,7,11,2,3,4,15512864.14
AI/ML Solution,Education,2,8,3,8,4,3765917.07
DevOps Automation,Startup,16,11,2,8,1,18371388.88
Cloud Migration,Finance,9,3,5,4,3,8431416.13
DevOps Automation,Finance,13,5,4,2,4,15247200.51
SaaS Product,Retail,17,12,1,0,3,27639893.79
SaaS Product,Healthcare,6,7,1,5,4,7735371.96
DevOps Automation,Education,4,4,3,7,2,1840860.61
DevOps Automation,Education,1,4,1,0,5,362019.7
E-commerce Platform,Healthcare,18,7,4,10,1,20242608.96
AI/ML Solution,Finance,9,2,2,0,2,3425411.03
DevOps Automation,Retail,13,15,4,10,4,37005434.09
Cybersecurity Implementation,Retail,8,2,3,6,1,2425748.48
IoT System,Education,13,6,3,6,5,14990849.35
IoT System,Retail,15,2,1,1,5,4340035.3
Mobile Application,Healthcare,11,11,4,2,4,27021207.02
CRM System,Finance,12,9,2,1,1,17654724.38
SaaS Product,Healthcare,14,3,4,5,4,9814122.8
Web Application,Startup,4,7,2,7,5,2921060.34
Blockchain Solution,Education,1,11,2,7,2,2182445.17
Legacy System Modernization,Retail,4,11,4,0,2,8568690.46
Web Application,Startup,9,6,5,10,3,7025516.35
CRM System,Retail,10,11,4,8,5,22376004.14
Blockchain Solution,Finance,4,13,2,10,5,13965549.9
E-commerce Platform,Finance,9,13,3,7,4,20102951.7
AI/ML Solution,Finance,13,5,3,8,3,17988283.32
ERP System,Retail,12,2,1,8,3,3713570.44
AI/ML Solution,Startup,11,15,3,10,1,28520406.93
Web Application,Finance,12,15,5,5,4,32931250.77
Web Application,Startup,18,4,2,2,2,5227615.05
Blockchain Solution,Retail,12,14,4,0,1,36381804.35
Blockchain Solution,Startup,16,13,4,10,3,43528890.94
SaaS Product,Retail,5,5,5,7,2,6253080.31
E-commerce Platform,Retail,12,3,3,9,5,3858085.53
SaaS Product,Education,11,13,2,2,4,20427267.82
CRM System,Retail,9,3,3,6,3,4549694.76
DevOps Automation,Retail,18,3,1,9,5,6705019.47
AI/ML Solution,Healthcare,3,12,3,5,3,7146303.85
Blockchain Solution,Finance,17,2,1,2,2,6150213.62
Data Engineering Pipeline,Education,14,11,4,5,1,32445344.82
CRM System,Education,1,3,2,2,2,353761.22
Cybersecurity Implementation,Education,17,7,1,8,4,15944022.58
E-commerce Platform,Healthcare,8,4,3,0,4,4556014.35
Web Application,Retail,5,11,3,7,3,5708482.8
SaaS Product,Finance,5,6,4,4,2,9796831.49
CRM System,Startup,9,2,5,3,1,2904334.01
Legacy System Modernization,Retail,3,9,5,0,4,5038522.3
AI/ML Solution,Healthcare,9,14,3,8,1,29977566.11
Blockchain Solution,Retail,18,5,5,8,5,28488201.58
Web Application,Retail,16,10,2,4,3,17014188.01
ERP System,Healthcare,1,5,5,10,1,1688245.05
Legacy System Modernization,Education,2,15,2,8,3,4134746.4
E-commerce Platform,Education,14,3,3,9,5,5546699.03
CRM System,Finance,14,4,3,8,1,15210511.05
Cloud Migration,Finance,1,6,3,6,1,1023769.02
Web Application,Education,16,13,4,7,5,20121931.57
AI/ML Solution,Startup,15,11,5,0,2,19535823.54
Mobile Application,Retail,15,14,1,3,1,18001979.02
Data Engineering Pipeline,Startup,12,14,1,9,1,18807533.17
Business Intelligence Dashboard,Retail,16,15,3,9,4,34549167.22
Legacy System Modernization,Education,14,7,5,3,2,20845268.54
DevOps Automation,Finance,15,8,2,8,1,19603925.04
Business Intelligence Dashboard,Finance,15,5,1,2,5,10761555.0
AI/ML Solution,Startup,8,8,3,9,3,12015822.44
Cybersecurity Implementation,Finance,2,11,1,9,5,4989123.39
SaaS Product,Education,2,4,1,0,2,741596.34
Cybersecurity Implementation,Startup,10,8,1,10,4,9163321.24
Mobile Application,Retail,3,5,3,4,4,2148943.82
Legacy System Modernization,Finance,17,14,3,6,4,63600539.76
DevOps Automation,Healthcare,8,14,4,3,5,27285351.06
Cloud Migration,Finance,4,9,4,8,3,12514523.38
Mobile Application,Retail,14,10,4,5,3,22899702.36
Legacy System Modernization,Startup,10,8,1,5,1,7749302.78
IoT System,Retail,1,9,5,2,3,1661190.1
Business Intelligence Dashboard,Healthcare,4,9,3,9,3,5958088.05
Mobile Application,Education,1,3,4,9,1,982974.74
Business Intelligence Dashboard,Finance,17,10,5,4,5,42117851.8
Web Application,Startup,17,7,4,9,5,13964637.83
Cybersecurity Implementation,Education,7,12,4,5,2,17196774.37
