project_type,client_industry,estimated_timeline_months,team_allocation,complexity_score,revision_count,final_billed_amount
Legacy System Modernization,Finance,14,8,4,7,10733554.43
SaaS Product,Education,17,13,5,4,18136597.3
AI/ML Solution,Healthcare,1,2,3,4,185674.77
Blockchain Solution,Retail,9,15,2,10,11048890.51
Cloud Migration,Finance,4,15,2,3,4723977.46
ERP System,Retail,8,6,5,0,4111621.31
Data Engineering Pipeline,Finance,13,8,1,0,12582573.74
AI/ML Solution,Education,4,2,1,5,491853.67
CRM System,Education,9,3,2,3,2871440.14
AI/ML Solution,Startup,9,10,5,3,8391834.27
Cloud Migration,Retail,18,13,2,2,16862636.23
CRM System,Finance,12,4,1,8,3426152.18
Data Engineering Pipeline,Education,10,7,3,2,4731417.23
Cloud Migration,Healthcare,11,8,1,7,6386369.94
Mobile Application,Education,7,10,3,1,4817836.04
ERP System,Healthcare,9,6,4,3,5285942.27
Data Engineering Pipeline,Finance,6,5,5,0,2693798.26
Blockchain Solution,Education,16,12,4,10,19020508.78
SaaS Product,Education,15,13,1,4,11135421.12
Mobile Application,Finance,7,3,5,1,1777000.61
Business Intelligence Dashboard,Education,16,4,1,10,3397469.81
Data Engineering Pipeline,Healthcare,5,6,5,0,2622563.54
Business Intelligence Dashboard,Education,16,12,5,0,15326348.52
CRM System,Retail,1,14,1,1,929512.89
Mobile Application,Startup,5,3,1,4,819189.17
ERP System,Healthcare,7,14,5,8,10055808.84
Blockchain Solution,Retail,5,5,5,5,2506174.21
Legacy System Modernization,Finance,17,2,1,3,2359248.45
Blockchain Solution,Healthcare,8,5,1,2,3126778.57
Cloud Migration,Startup,1,8,2,7,506769.23
Blockchain Solution,Startup,2,15,2,2,1877360.46
E-commerce Platform,Finance,15,13,2,0,13772139.43
Cybersecurity Implementation,Finance,18,4,4,3,6401682.88
Legacy System Modernization,Healthcare,11,11,5,10,12237297.39
AI/ML Solution,Education,10,9,3,4,6077059.38
SaaS Product,Finance,4,7,4,4,2597534.55
Web Application,Education,5,7,5,4,2641854.84
ERP System,Retail,4,15,3,7,5330646.31
Mobile Application,Startup,13,2,2,7,1690606.07
Cybersecurity Implementation,Education,13,6,3,3,9594337.66
ERP System,Startup,18,4,1,8,4313079.7
Mobile Application,Education,2,11,1,0,1288044.83
SaaS Product,Retail,16,2,5,4,2828533.84
DevOps Automation,Finance,1,9,4,4,777054.75
DevOps Automation,Retail,9,8,2,4,4616288.5
Business Intelligence Dashboard,Finance,3,8,5,7,2339931.05
ERP System,Finance,7,13,2,8,6931247.08
DevOps Automation,Startup,10,11,1,2,6048758.78
E-commerce Platform,Retail,1,15,4,8,1256201.52
Legacy System Modernization,Education,10,11,4,10,8519880.04
Mobile Application,Retail,9,11,1,7,5951007.09
Business Intelligence Dashboard,Startup,15,5,3,2,4612539.17
Blockchain Solution,Finance,15,14,4,1,21418735.04
Mobile Application,Startup,3,12,3,3,2208578.01
Business Intelligence Dashboard,Healthcare,5,7,2,1,1992311.81
SaaS Product,Healthcare,9,14,4,3,11541084.29
ERP System,Education,9,10,1,4,4680423.22
SaaS Product,Startup,7,15,3,1,7503272.79
Legacy System Modernization,Education,12,4,2,7,2912792.79
Legacy System Modernization,Education,9,10,2,0,5220624.24
Cybersecurity Implementation,Healthcare,6,5,4,2,2666210.3
SaaS Product,Education,2,6,4,6,989922.01
Cloud Migration,Healthcare,9,8,5,9,7342436.55
Blockchain Solution,Finance,17,7,5,0,12419095.09
Data Engineering Pipeline,Startup,1,11,4,10,778813.68
SaaS Product,Education,6,9,5,1,4129952.06
Cybersecurity Implementation,Healthcare,5,9,1,2,4743855.42
CRM System,Retail,2,9,1,1,1145554.61
E-commerce Platform,Education,9,4,5,1,2651463.15
Mobile Application,Finance,14,15,4,10,20494230.97
Legacy System Modernization,Finance,4,11,1,5,3132108.24
CRM System,Retail,4,7,2,6,2088561.36
Cybersecurity Implementation,Healthcare,15,8,4,5,10898340.12
Business Intelligence Dashboard,Education,8,10,3,10,5656190.05
Data Engineering Pipeline,Healthcare,4,11,3,5,3688274.39
Blockchain Solution,Finance,16,11,4,8,16484952.03
Blockchain Solution,Healthcare,4,15,5,7,6712142.04
Blockchain Solution,Finance,16,13,1,7,29700533.6
E-commerce Platform,Healthcare,12,5,1,5,6781707.05
Data Engineering Pipeline,Retail,16,6,4,4,6659923.97
E-commerce Platform,Startup,8,9,2,8,4366597.59
Legacy System Modernization,Retail,6,2,5,1,951760.81
E-commerce Platform,Retail,10,13,2,6,8769251.45
Web Application,Startup,5,7,4,5,2047824.95
Data Engineering Pipeline,Startup,18,5,4,6,6743612.05
Cloud Migration,Education,10,6,2,3,3656378.12
Data Engineering Pipeline,Education,10,12,3,8,8806181.0
Cybersecurity Implementation,Retail,7,6,4,6,3550096.17
Web Application,Retail,18,3,5,1,4212298.07
Blockchain Solution,Finance,1,9,2,3,896224.7
Cybersecurity Implementation,Finance,7,3,3,4,1927560.5
Cybersecurity Implementation,Education,1,5,2,1,354335.25
Legacy System Modernization,Education,15,13,3,9,13548473.53
IoT System,Finance,4,14,3,7,5182753.62
AI/ML Solution,Finance,10,6,5,0,6687032.88
Web Application,Healthcare,9,15,4,2,9953679.15
Cybersecurity Implementation,Healthcare,2,2,3,0,327334.65
AI/ML Solution,Finance,14,7,4,4,10245578.45
AI/ML Solution,Healthcare,16,3,5,7,5149344.42
Web Application,Startup,1,15,4,6,1001643.73
IoT System,Education,2,6,1,8,1243983.54
CRM System,Education,7,7,3,1,3468660.95
Business Intelligence Dashboard,Finance,10,12,5,7,10435600.52
Cloud Migration,Retail,1,9,2,7,547007.02
Business Intelligence Dashboard,Finance,13,10,5,5,12476238.49
Data Engineering Pipeline,Healthcare,1,14,3,2,1112601.11
Blockchain Solution,Retail,5,13,5,1,4916044.23
Cloud Migration,Healthcare,16,7,2,7,8493694.05
Data Engineering Pipeline,Startup,15,6,1,5,5130118.14
Cybersecurity Implementation,Healthcare,17,13,3,3,17833253.23
Blockchain Solution,Startup,16,5,3,4,6174562.59
Mobile Application,Startup,13,3,5,4,2992486.9
Web Application,Healthcare,11,3,4,8,2965493.94
Cloud Migration,Healthcare,17,8,4,8,12522054.33
Cloud Migration,Startup,17,6,2,7,6594583.68
SaaS Product,Retail,2,8,1,7,1402694.55
Cybersecurity Implementation,Startup,13,14,1,1,10227754.76
CRM System,Education,14,12,5,2,14280175.88
AI/ML Solution,Startup,11,2,5,7,1933819.84
Blockchain Solution,Retail,10,2,4,4,1921753.9
Cybersecurity Implementation,Education,3,6,1,6,1142121.82
DevOps Automation,Finance,17,3,1,7,3395637.38
IoT System,Finance,15,9,1,5,9852412.21
AI/ML Solution,Retail,9,15,2,4,11360659.21
Web Application,Startup,10,4,2,7,2336320.23
AI/ML Solution,Healthcare,8,2,5,0,1479965.99
CRM System,Retail,13,14,4,0,13471703.51
Legacy System Modernization,Education,18,3,3,0,3436969.04
SaaS Product,Education,5,11,4,2,4006176.51
AI/ML Solution,Finance,6,11,2,9,5608857.54
Web Application,Education,17,8,2,5,7522231.94
CRM System,Retail,11,7,5,5,6001812.89
Business Intelligence Dashboard,Education,16,13,3,4,13491999.93
Cloud Migration,Retail,9,9,1,6,5031583.26
Legacy System Modernization,Healthcare,2,8,3,4,1252765.18
SaaS Product,Finance,5,15,3,1,6830559.69
Cloud Migration,Education,1,11,3,3,747956.94
IoT System,Retail,4,14,5,0,3867247.77
Data Engineering Pipeline,Startup,4,9,2,6,2014031.67
Legacy System Modernization,Finance,3,4,1,3,856879.77
Legacy System Modernization,Healthcare,9,7,3,3,5282626.9
Business Intelligence Dashboard,Retail,12,14,1,3,9370785.26
Business Intelligence Dashboard,Healthcare,10,8,3,2,8109131.93
Blockchain Solution,Healthcare,2,11,2,7,2130322.69
E-commerce Platform,Education,11,12,1,3,7700451.39
AI/ML Solution,Education,10,2,4,7,1731353.7
Legacy System Modernization,Retail,6,2,2,8,844004.7
Cloud Migration,Startup,18,8,1,0,6540343.07
Web Application,Retail,2,14,3,3,1646024.42
ERP System,Startup,2,12,3,5,1748241.6
E-commerce Platform,Healthcare,10,14,2,7,10857036.76
ERP System,Finance,16,4,2,5,5060138.21
SaaS Product,Retail,12,4,3,5,3716371.91
CRM System,Retail,1,6,1,9,371820.98
Cloud Migration,Startup,8,12,4,3,7680184.24
Cloud Migration,Healthcare,16,7,5,8,10963162.33
E-commerce Platform,Healthcare,18,3,2,6,3652944.45
Legacy System Modernization,Startup,13,4,3,10,4084481.9
IoT System,Healthcare,15,7,1,5,7409052.67
E-commerce Platform,Education,12,4,2,0,2480120.49
ERP System,Finance,8,15,1,1,7986686.99
E-commerce Platform,Retail,10,6,2,5,6553111.76
Cloud Migration,Finance,14,10,3,10,22685547.92
IoT System,Retail,5,13,1,0,4239336.68
AI/ML Solution,Education,18,4,3,10,5434851.82
DevOps Automation,Healthcare,15,13,1,4,12337631.4
Blockchain Solution,Startup,6,12,2,0,5115122.84
Mobile Application,Education,11,14,5,2,12480174.74
Business Intelligence Dashboard,Finance,11,14,5,6,14047891.25
E-commerce Platform,Startup,18,7,4,4,9077605.43
SaaS Product,Healthcare,18,12,4,9,19026535.06
Data Engineering Pipeline,Education,10,6,3,0,3869449.29
CRM System,Startup,2,6,1,0,573782.37
DevOps Automation,Education,9,12,4,7,8644842.36
Blockchain Solution,Education,14,15,2,10,16429643.47
Blockchain Solution,Healthcare,10,15,5,8,16956878.94
Blockchain Solution,Retail,4,7,1,6,1714737.39
Blockchain Solution,Startup,6,7,5,2,3694327.03
ERP System,Healthcare,14,2,1,5,2084493.56
SaaS Product,Education,4,12,4,2,5380795.98
SaaS Product,Healthcare,15,10,4,9,14085929.95
IoT System,Retail,16,6,3,3,7450470.09
Business Intelligence Dashboard,Startup,7,2,1,3,702465.3
Cloud Migration,Retail,17,9,2,2,11041966.77
Blockchain Solution,Finance,17,8,4,9,13458880.85
Data Engineering Pipeline,Startup,6,8,3,5,3851755.45
Cloud Migration,Retail,11,15,4,4,10753895.74
SaaS Product,Education,16,6,5,10,8682989.76
Web Application,Startup,8,2,4,8,1023752.15
Web Application,Startup,11,10,1,8,4862069.7
Data Engineering Pipeline,Healthcare,7,12,3,2,7373625.74
IoT System,Education,10,10,1,8,6598228.87
SaaS Product,Finance,9,9,2,2,5723193.74
Data Engineering Pipeline,Retail,4,6,2,3,1536165.05
ERP System,Healthcare,15,15,4,0,19596849.72
E-commerce Platform,Retail,13,4,3,4,3731210.64
Data Engineering Pipeline,Finance,2,9,3,8,2806300.36
AI/ML Solution,Finance,2,2,3,1,307674.33
Cloud Migration,Startup,16,4,3,3,4580166.72
DevOps Automation,Finance,9,13,4,9,9350964.53
Cybersecurity Implementation,Retail,13,12,1,1,9932424.2
IoT System,Education,3,8,4,7,1973801.29
Data Engineering Pipeline,Education,9,15,1,8,8795140.15
SaaS Product,Startup,13,5,5,2,5103117.0
CRM System,Retail,2,8,5,8,1407093.82
Web Application,Retail,8,13,1,5,6119600.15
AI/ML Solution,Finance,9,12,4,5,10803679.47
Business Intelligence Dashboard,Retail,16,14,2,6,14028761.36
Blockchain Solution,Healthcare,2,15,4,4,2729470.05
Cybersecurity Implementation,Finance,6,6,2,5,2969904.78
Legacy System Modernization,Healthcare,8,7,4,10,5605652.73
IoT System,Startup,5,15,3,0,5318595.31
DevOps Automation,Education,9,8,3,2,4661452.1
Cybersecurity Implementation,Startup,1,14,5,8,1156235.9
Data Engineering Pipeline,Education,9,11,5,4,7774091.76
ERP System,Startup,10,13,1,4,7939881.91
Web Application,Retail,4,8,2,7,1987301.57
SaaS Product,Healthcare,3,8,3,10,1857534.87
Web Application,Education,10,8,4,10,5510073.83
Business Intelligence Dashboard,Finance,15,12,1,1,9197928.63
ERP System,Healthcare,11,14,4,6,14889248.96
Blockchain Solution,Finance,14,14,3,8,19731396.3
SaaS Product,Healthcare,6,8,3,6,4227656.16
Cloud Migration,Healthcare,12,4,3,4,3781476.0
Mobile Application,Startup,13,13,3,5,10945673.23
AI/ML Solution,Education,17,4,4,3,10159221.74
Web Application,Education,16,8,1,6,7001685.65
CRM System,Healthcare,3,15,3,0,3610823.55
Web Application,Retail,2,3,5,3,461290.8
Cybersecurity Implementation,Retail,11,15,1,2,10483329.14
Web Application,Finance,9,3,5,3,2511129.88
IoT System,Finance,3,4,4,0,1160102.37
Web Application,Startup,18,15,3,1,16417494.86
Mobile Application,Healthcare,15,5,1,10,5150332.28
Mobile Application,Finance,14,7,3,8,8437100.72
Blockchain Solution,Finance,2,14,3,6,2675797.97
DevOps Automation,Healthcare,17,9,1,5,8543883.5
Cloud Migration,Startup,8,11,3,1,5922895.86
CRM System,Finance,10,11,3,0,8123854.61
Web Application,Startup,18,8,2,1,6473211.61
Web Application,Education,8,5,2,6,2426905.25
AI/ML Solution,Startup,8,3,1,1,2244184.64
SaaS Product,Retail,3,3,1,2,541926.05
Mobile Application,Retail,3,5,3,7,1167906.29
CRM System,Startup,12,7,5,6,6626664.56
Blockchain Solution,Retail,17,4,1,10,4318507.22
Business Intelligence Dashboard,Education,4,7,3,10,1820406.29
DevOps Automation,Healthcare,17,6,5,10,9656564.63
Cloud Migration,Retail,14,6,2,8,5558500.54
ERP System,Retail,9,3,1,3,2916535.47
Cloud Migration,Startup,12,9,3,6,7642275.7
IoT System,Education,5,6,2,0,2013352.02
Cybersecurity Implementation,Healthcare,11,12,4,10,13285646.69
IoT System,Startup,3,3,2,10,536556.1
Web Application,Startup,15,8,3,1,6700248.56
Legacy System Modernization,Education,14,14,5,6,15367389.57
DevOps Automation,Healthcare,11,10,4,1,8110350.86
Cybersecurity Implementation,Education,8,10,4,5,6400133.01
CRM System,Healthcare,4,2,4,9,716958.28
ERP System,Education,12,8,1,8,6208766.44
Mobile Application,Startup,8,10,3,10,5266699.07
DevOps Automation,Startup,6,7,4,4,3083013.46
DevOps Automation,Finance,15,2,2,9,2555582.61
IoT System,Retail,12,3,5,6,3503944.33
Legacy System Modernization,Education,16,5,3,0,5253580.19
Web Application,Finance,16,15,2,7,17787608.61
Data Engineering Pipeline,Retail,4,5,1,8,1360475.28
Blockchain Solution,Education,11,3,4,4,2936051.39
IoT System,Healthcare,13,9,2,5,7811553.67
DevOps Automation,Retail,9,3,3,10,1874257.03
E-commerce Platform,Startup,4,4,2,7,1005852.11
AI/ML Solution,Finance,12,15,1,3,12914149.88
ERP System,Retail,9,5,5,1,3972537.78
Blockchain Solution,Retail,13,10,4,9,12603912.75
IoT System,Startup,16,11,3,7,12620652.48
ERP System,Education,6,2,4,1,927154.23
AI/ML Solution,Healthcare,10,9,4,4,8563278.35
Business Intelligence Dashboard,Startup,13,13,4,5,10478725.63
AI/ML Solution,Healthcare,7,15,2,4,7786436.09
Legacy System Modernization,Education,17,6,2,5,6267865.28
AI/ML Solution,Retail,13,8,5,5,16141726.11
ERP System,Healthcare,13,9,1,2,7683041.22
Cloud Migration,Finance,2,6,3,10,1036988.0
ERP System,Finance,10,9,2,10,7741563.16
Data Engineering Pipeline,Startup,13,11,4,2,10891862.45
Web Application,Education,9,12,1,8,6419155.36
Cybersecurity Implementation,Startup,1,9,3,2,659270.53
Cloud Migration,Startup,14,10,3,2,8887680.85
Mobile Application,Startup,16,3,3,10,3273766.03
Cybersecurity Implementation,Finance,15,4,3,1,5559321.47
Web Application,Finance,1,2,5,6,170485.55
IoT System,Startup,17,5,3,9,6191677.7
Blockchain Solution,Finance,13,6,1,9,6705225.8
Data Engineering Pipeline,Education,15,12,2,3,10726785.6
Data Engineering Pipeline,Startup,16,2,1,0,1785482.41
Mobile Application,Finance,16,9,4,5,13976413.96
Cloud Migration,Healthcare,2,3,5,4,521082.45
Legacy System Modernization,Startup,17,2,5,10,2304770.43
SaaS Product,Startup,11,3,4,1,2463224.03
Business Intelligence Dashboard,Education,8,14,1,5,5644168.89
AI/ML Solution,Retail,3,6,1,0,1197690.22
Cloud Migration,Retail,12,10,4,2,9460521.66
Blockchain Solution,Education,16,10,3,3,12758355.07
Business Intelligence Dashboard,Education,14,3,3,2,2712931.45
Data Engineering Pipeline,Education,16,3,2,5,3249584.64
ERP System,Retail,17,4,1,10,4370258.68
Blockchain Solution,Education,11,8,1,3,5602776.9
Web Application,Finance,17,12,4,0,14019495.76
Mobile Application,Startup,1,4,4,4,218822.61
Web Application,Startup,12,2,3,4,1278491.41
SaaS Product,Healthcare,15,15,1,8,16737396.45
Blockchain Solution,Healthcare,18,15,1,7,23098460.36
CRM System,Startup,14,15,5,7,17266775.92
CRM System,Finance,1,7,2,4,604668.29
IoT System,Retail,13,4,2,7,3849095.83
Cloud Migration,Retail,15,2,3,9,1887205.02
Data Engineering Pipeline,Finance,7,15,1,6,6509482.37
Data Engineering Pipeline,Retail,15,14,5,0,17567712.76
AI/ML Solution,Education,10,5,1,6,3397988.61
AI/ML Solution,Startup,14,14,4,10,16866807.84
AI/ML Solution,Startup,6,2,3,7,1516947.6
ERP System,Finance,14,2,2,2,2371307.22
Cybersecurity Implementation,Retail,12,13,1,8,10386055.99
DevOps Automation,Healthcare,11,3,3,7,2752218.87
Cybersecurity Implementation,Healthcare,2,11,2,1,2386581.02
Web Application,Retail,1,9,1,5,523899.14
Cybersecurity Implementation,Healthcare,8,3,5,3,2380107.0
ERP System,Finance,14,12,3,2,11784745.56
IoT System,Finance,9,3,1,10,2111251.66
Web Application,Retail,2,12,2,5,1513564.13
Cybersecurity Implementation,Healthcare,5,12,2,9,4784484.79
ERP System,Finance,8,11,5,8,8929602.91
DevOps Automation,Finance,16,11,3,1,13686837.78
Cybersecurity Implementation,Education,16,9,3,9,11033608.17
ERP System,Education,13,13,1,9,10311903.23
SaaS Product,Finance,15,7,2,9,13305234.08
AI/ML Solution,Retail,1,13,2,4,873890.86
SaaS Product,Startup,3,12,5,5,2933404.21
Data Engineering Pipeline,Startup,6,5,5,3,2478636.34
AI/ML Solution,Finance,14,4,3,6,5346701.23
Data Engineering Pipeline,Finance,4,2,2,1,600874.26
E-commerce Platform,Finance,18,12,1,6,14061113.78
Mobile Application,Retail,15,4,4,1,4047985.17
SaaS Product,Education,9,13,1,0,6716408.55
Mobile Application,Finance,18,15,5,10,28287583.3
Mobile Application,Finance,3,10,1,4,1973495.22
DevOps Automation,Healthcare,10,6,2,1,4438738.3
AI/ML Solution,Retail,17,14,3,7,19363710.54
E-commerce Platform,Finance,7,7,4,7,4742536.91
Data Engineering Pipeline,Healthcare,15,6,3,0,6862697.28
ERP System,Startup,1,2,4,3,132321.7
Web Application,Finance,11,11,4,8,11037876.61
ERP System,Finance,17,2,2,4,2671289.85
Web Application,Healthcare,5,5,2,10,1685490.28
SaaS Product,Retail,7,4,5,9,2641821.35
CRM System,Finance,15,12,5,5,17445520.77
ERP System,Startup,3,9,4,2,1612065.6
Cybersecurity Implementation,Finance,15,13,5,4,21782647.08
Cybersecurity Implementation,Startup,5,13,2,0,4033777.47
Cloud Migration,Education,12,8,5,7,7675623.91
AI/ML Solution,Education,5,12,4,10,5238323.82
Web Application,Startup,3,8,3,5,1669038.72
Web Application,Retail,9,9,1,1,4535112.3
Blockchain Solution,Finance,9,15,5,3,14696962.57
IoT System,Finance,7,11,2,3,5472995.42
AI/ML Solution,Education,2,8,3,8,1266558.84
DevOps Automation,Startup,16,11,2,8,9049599.82
Cloud Migration,Finance,9,3,5,4,2623507.1
DevOps Automation,Finance,13,5,4,2,5041712.22
SaaS Product,Retail,17,12,1,0,20417887.48
SaaS Product,Healthcare,6,7,1,5,3123483.65
DevOps Automation,Education,4,4,3,7,1147257.79
DevOps Automation,Education,1,4,1,0,236803.6
E-commerce Platform,Healthcare,18,7,4,10,11766816.88
AI/ML Solution,Finance,9,2,2,0,1245844.01
DevOps Automation,Retail,13,15,4,10,15994585.85
Cybersecurity Implementation,Retail,8,2,3,6,1399358.69
IoT System,Education,13,6,3,6,6341038.6
IoT System,Retail,15,2,1,1,2056530.3
Mobile Application,Healthcare,11,11,4,2,9637018.71
CRM System,Finance,12,9,2,1,6377490.26
SaaS Product,Healthcare,14,3,4,5,3631126.28
Web Application,Startup,4,7,2,7,1408688.44
Blockchain Solution,Education,1,11,2,7,814391.19
Legacy System Modernization,Retail,4,11,4,0,3307826.93
Web Application,Startup,9,6,5,10,4054032.89
CRM System,Retail,10,11,4,8,7226346.78
Blockchain Solution,Finance,4,13,2,10,5013005.9
E-commerce Platform,Finance,9,13,3,7,8440797.99
AI/ML Solution,Finance,13,5,3,8,6737942.43
ERP System,Retail,12,2,1,8,1646011.9
AI/ML Solution,Startup,11,15,3,10,13437931.63
Web Application,Finance,12,15,5,5,15986945.84
Web Application,Startup,18,4,2,2,4099008.57
Blockchain Solution,Retail,12,14,4,0,15508425.89
Blockchain Solution,Startup,16,13,4,10,18877855.93
SaaS Product,Retail,5,5,5,7,2235431.97
E-commerce Platform,Retail,12,3,3,9,2766981.47
SaaS Product,Education,11,13,2,2,9512907.08
CRM System,Retail,9,3,3,6,2198074.1
DevOps Automation,Retail,18,3,1,9,3303798.79
AI/ML Solution,Healthcare,3,12,3,5,5053717.4
Blockchain Solution,Finance,17,2,1,2,2592603.43
Data Engineering Pipeline,Education,14,11,4,5,12174948.95
CRM System,Education,1,3,2,2,193587.49
Cybersecurity Implementation,Education,17,7,1,8,7953068.51
E-commerce Platform,Healthcare,8,4,3,0,2150236.1
Web Application,Retail,5,11,3,7,3525979.21
SaaS Product,Finance,5,6,4,4,2731322.47
CRM System,Startup,9,2,5,3,1432892.25
Legacy System Modernization,Retail,3,9,5,0,2304668.98
AI/ML Solution,Healthcare,9,14,3,8,11705573.89
Blockchain Solution,Retail,18,5,5,8,9921539.02
Web Application,Retail,16,10,2,4,10368253.26
ERP System,Healthcare,1,5,5,10,541415.32
Legacy System Modernization,Education,2,15,2,8,3200480.54
E-commerce Platform,Education,14,3,3,9,3017761.95
CRM System,Finance,14,4,3,8,5090567.72
Cloud Migration,Finance,1,6,3,6,443244.04
Web Application,Education,16,13,4,7,16034694.95
AI/ML Solution,Startup,15,11,5,0,14318822.96
Mobile Application,Retail,15,14,1,3,13239552.23
Data Engineering Pipeline,Startup,12,14,1,9,15568716.82
Business Intelligence Dashboard,Retail,16,15,3,9,16376659.2
Legacy System Modernization,Education,14,7,5,3,7961988.91
DevOps Automation,Finance,15,8,2,8,7965379.09
Business Intelligence Dashboard,Finance,15,5,1,2,4881874.14
AI/ML Solution,Startup,8,8,3,9,4692698.76
Cybersecurity Implementation,Finance,2,11,1,9,1600696.62
SaaS Product,Education,2,4,1,0,764001.16
Cybersecurity Implementation,Startup,10,8,1,10,4825420.88
Mobile Application,Retail,3,5,3,4,1119680.28
Legacy System Modernization,Finance,17,14,3,6,19365802.31
DevOps Automation,Healthcare,8,14,4,3,9064570.91
Cloud Migration,Finance,4,9,4,8,2628441.77
Mobile Application,Retail,14,10,4,5,11724422.74
Legacy System Modernization,Startup,10,8,1,5,4542077.45
IoT System,Retail,1,9,5,2,749124.48
Business Intelligence Dashboard,Healthcare,4,9,3,9,2559005.77
Mobile Application,Education,1,3,4,9,192801.27
Business Intelligence Dashboard,Finance,17,10,5,4,16332374.85
Web Application,Startup,17,7,4,9,8188431.38
Cybersecurity Implementation,Education,7,12,4,5,6808356.03
Web Application,Retail,15,5,5,3,5318493.4
Data Engineering Pipeline,Startup,13,6,4,2,5370580.89
IoT System,Education,2,11,1,4,1325979.53
DevOps Automation,Startup,13,6,1,6,4367460.85
Cloud Migration,Healthcare,11,8,1,10,6311225.96
E-commerce Platform,Healthcare,15,15,2,5,15716168.61
Business Intelligence Dashboard,Finance,10,10,4,1,7279752.62
Cloud Migration,Finance,9,8,2,0,5606293.9
Business Intelligence Dashboard,Healthcare,9,10,3,4,7063483.06
AI/ML Solution,Startup,1,5,5,4,428936.76
Mobile Application,Healthcare,17,11,3,5,13590842.89
Data Engineering Pipeline,Finance,12,15,2,2,13942733.44
Cybersecurity Implementation,Healthcare,10,11,1,0,7145302.84
E-commerce Platform,Healthcare,5,5,4,3,1902714.04
Blockchain Solution,Startup,18,7,4,3,10274989.99
Business Intelligence Dashboard,Education,15,9,1,9,7764682.77
Cloud Migration,Finance,6,15,4,1,7484527.29
Data Engineering Pipeline,Startup,7,10,5,7,5382693.71
ERP System,Healthcare,17,2,5,5,3565364.93
E-commerce Platform,Healthcare,6,2,5,2,997202.51
ERP System,Education,8,14,3,0,8576109.03
Web Application,Finance,12,9,1,10,7222204.32
Cybersecurity Implementation,Finance,14,12,5,2,16983909.53
SaaS Product,Retail,12,8,2,7,6712053.01
SaaS Product,Finance,10,10,5,3,8778268.29
Blockchain Solution,Education,15,12,3,2,21806452.95
AI/ML Solution,Retail,7,4,2,10,2203653.09
Cloud Migration,Retail,9,11,1,3,5065173.9
Legacy System Modernization,Healthcare,10,13,1,10,10038789.66
Blockchain Solution,Healthcare,10,6,5,3,6116522.18
Mobile Application,Finance,16,4,2,1,3473950.19
Mobile Application,Retail,7,6,2,3,2980936.66
Cloud Migration,Healthcare,5,11,5,10,5738381.8
Legacy System Modernization,Education,3,2,5,8,479316.57
DevOps Automation,Healthcare,18,15,4,3,19405453.37
AI/ML Solution,Healthcare,11,12,4,0,11839787.04
Data Engineering Pipeline,Retail,15,5,5,0,9389450.25
