project_type,client_industry,complexity_level,client_tier,estimated_timeline_weeks,team_size,estimated_modules,estimated_features,estimated_hours,quoted_cost,final_    billed_amount
Web App,Healthcare,Low,Startup,28,9,49,136,7560,12289059.0,12495024.0
AI Solution,Education,Medium,Startup,25,10,33,88,11000,9699618.0,10294079.0
Mobile App,Healthcare,Medium,SMB,4,6,27,29,840,3101554.0,3261563.0
Web App,SaaS,Medium,SMB,19,8,6,147,6080,7565131.0,9021680.0
Data Pipeline,E-commerce,High,SMB,4,2,44,93,320,4556683.0,4534455.0
Web App,Healthcare,Medium,Enterprise,29,3,45,154,2871,8325620.0,10256310.0
Web App,SaaS,High,SMB,8,10,28,196,2560,5246687.0,5815173.0
Data Pipeline,Education,Medium,SMB,28,4,45,49,3360,6297065.0,7080999.0
AI Solution,FinTech,Low,Enterprise,22,13,13,47,12298,17078523.0,20701608.0
Data Pipeline,E-commerce,Medium,SMB,24,5,27,163,4560,8657077.0,7878813.0
Mobile App,SaaS,Medium,SMB,14,3,16,28,1638,3506799.0,3779581.0
Mobile App,FinTech,High,SMB,8,14,41,185,3584,8862211.0,10174690.0
Web App,SaaS,Medium,Startup,22,14,48,186,12320,11641117.0,13287359.0
Mobile App,Education,Medium,SMB,11,14,45,186,4620,7262105.0,7698498.0
Web App,FinTech,Low,Enterprise,15,14,36,192,8820,17801015.0,20323182.0
AI Solution,Education,Low,Startup,20,2,7,163,1440,2763245.0,2589541.0
ERP,Education,Medium,Startup,7,11,12,79,2387,3866150.0,4130625.0
Web App,FinTech,Medium,Enterprise,19,14,17,65,8512,23278337.0,23656256.0
Mobile App,Healthcare,High,Enterprise,16,6,37,137,2880,12117573.0,11823482.0
Web App,Manufacturing,High,SMB,4,3,45,118,528,2848761.0,2589982.0
AI Solution,SaaS,Medium,SMB,13,11,23,164,4862,8060084.0,8209059.0
Web App,FinTech,Medium,Startup,11,8,30,181,3080,6029914.0,6244914.0
Data Pipeline,Manufacturing,High,SMB,19,8,19,104,6536,9864221.0,12263389.0
Mobile App,Healthcare,Medium,SMB,22,3,42,98,2706,6102016.0,5873301.0
Mobile App,FinTech,Medium,Startup,27,6,38,25,5508,9723334.0,10774148.0
Web App,E-commerce,Low,SMB,11,5,29,115,1760,2849043.0,3285507.0
Data Pipeline,SaaS,Medium,Startup,25,6,10,20,5100,7788316.0,8189390.0
Data Pipeline,E-commerce,Low,SMB,28,7,34,126,8624,13867167.0,14161971.0
ERP,Manufacturing,Low,SMB,17,9,6,128,5967,7576143.0,7090035.0
AI Solution,Education,Low,SMB,6,4,19,138,816,1484327.0,1795351.0
ERP,FinTech,High,SMB,7,11,7,128,2387,8118426.0,7931001.0
Web App,Education,Low,Startup,9,5,30,83,1395,2136198.0,1977764.0
Data Pipeline,Manufacturing,Low,Startup,19,5,34,94,4085,3779156.0,4585965.0
AI Solution,SaaS,High,Startup,5,5,32,94,825,2757405.0,2711662.0
Web App,Healthcare,Medium,SMB,22,14,48,152,10780,20375278.0,19958658.0
ERP,FinTech,Medium,Startup,8,12,40,96,3840,6949442.0,7204623.0
Mobile App,Education,Low,SMB,23,2,41,92,1380,3062134.0,2949218.0
Web App,SaaS,High,Enterprise,17,6,15,156,3162,14560063.0,13833150.0
AI Solution,FinTech,Medium,SMB,6,6,41,24,1152,4392760.0,4131795.0
Web App,Healthcare,High,SMB,17,4,42,116,2448,6515255.0,7101524.0
Mobile App,Manufacturing,Low,Startup,10,4,10,153,1280,2542579.0,2449008.0
Data Pipeline,FinTech,Medium,Enterprise,7,14,42,116,4116,20013099.0,19454037.0
AI Solution,Healthcare,Medium,Enterprise,18,5,49,199,3330,9009115.0,9764004.0
Data Pipeline,Healthcare,Low,SMB,7,5,30,62,1400,2583564.0,2649762.0
Mobile App,Manufacturing,Medium,Enterprise,11,3,29,130,1221,4325147.0,4286588.0
Data Pipeline,Healthcare,Medium,Startup,12,7,33,59,3192,6765060.0,6175586.0
ERP,Manufacturing,High,Startup,25,8,44,162,6800,14524589.0,14015315.0
Mobile App,FinTech,Low,SMB,29,12,42,149,12528,15337342.0,17682350.0
ERP,E-commerce,Low,Startup,10,5,10,107,1500,2663279.0,3312831.0
Data Pipeline,FinTech,Low,Enterprise,20,5,26,82,4200,7594636.0,8262265.0
AI Solution,E-commerce,Medium,Startup,20,14,33,49,10360,14086301.0,14699347.0
ERP,FinTech,Medium,SMB,7,2,12,176,504,3504748.0,3528744.0
ERP,FinTech,Low,Startup,21,8,33,27,5040,9014510.0,9472482.0
Web App,SaaS,Low,SMB,18,9,38,54,5994,6816469.0,7416016.0
Data Pipeline,Manufacturing,Low,Startup,19,3,11,93,2052,3934977.0,3701998.0
Data Pipeline,Education,Medium,Enterprise,8,5,15,149,1280,3523627.0,3818311.0
Web App,Healthcare,High,Startup,29,7,48,43,6090,17369586.0,16702222.0
Web App,Healthcare,Low,Startup,11,3,49,44,1188,1893723.0,2255284.0
Data Pipeline,SaaS,Medium,SMB,9,3,25,61,891,3604610.0,3547632.0
Data Pipeline,Healthcare,Low,Startup,9,12,44,117,4428,5681809.0,5403877.0
Data Pipeline,Education,Medium,SMB,5,13,47,70,2210,3322304.0,3747206.0
ERP,FinTech,Medium,SMB,25,3,28,169,2550,6995183.0,8243164.0
ERP,E-commerce,High,Enterprise,14,3,13,173,1302,10245596.0,10179221.0
Mobile App,FinTech,Low,Enterprise,8,13,48,198,4472,7252109.0,6958268.0
Web App,SaaS,Medium,SMB,20,13,20,102,9620,13513646.0,13634042.0
Web App,Healthcare,Medium,Startup,29,10,49,45,12760,14302170.0,14794195.0
Mobile App,Manufacturing,Low,SMB,22,9,27,101,8712,10206126.0,9732404.0
Web App,Manufacturing,Medium,Startup,16,3,7,56,1920,3110384.0,3476894.0
Web App,Education,Medium,Startup,21,2,20,189,1722,10266020.0,10708482.0
AI Solution,E-commerce,High,Startup,20,14,48,35,10360,15947973.0,17702049.0
ERP,SaaS,Medium,Startup,16,9,34,87,4464,8446783.0,9098882.0
Web App,FinTech,Medium,Startup,29,6,41,190,7134,10820490.0,11508461.0
Data Pipeline,Healthcare,Low,Enterprise,11,5,33,82,1925,4324979.0,5070562.0
Mobile App,FinTech,Low,SMB,9,6,9,73,2376,3421915.0,3573767.0
AI Solution,Healthcare,Medium,SMB,20,9,7,179,5760,11382733.0,11640191.0
Data Pipeline,Healthcare,Medium,Startup,12,4,29,95,1872,3546478.0,4293058.0
ERP,Manufacturing,Low,SMB,29,3,10,56,3567,4628732.0,5655450.0
Data Pipeline,Manufacturing,Medium,Enterprise,27,9,38,59,9720,20561424.0,19389370.0
ERP,FinTech,Low,Startup,16,12,49,108,6528,8768290.0,10345070.0
AI Solution,SaaS,High,Startup,26,11,14,179,11440,37874164.0,36878779.0
ERP,Healthcare,Low,SMB,20,10,21,123,8800,13642527.0,15415234.0
Mobile App,FinTech,High,Startup,18,6,33,41,3564,7829056.0,9211594.0
ERP,Manufacturing,Medium,SMB,25,11,22,69,11825,14496506.0,17277782.0
Data Pipeline,Education,Low,Startup,9,4,15,77,1296,1848387.0,1992109.0
Data Pipeline,FinTech,Low,SMB,14,5,36,149,3080,5610611.0,5169835.0
ERP,Education,Medium,Enterprise,8,12,24,25,3072,7465520.0,6988683.0
Mobile App,SaaS,Low,Enterprise,27,13,22,34,14391,19614193.0,18493715.0
Data Pipeline,E-commerce,High,SMB,6,14,48,43,3444,6009729.0,7508693.0
Web App,Manufacturing,Medium,SMB,9,10,26,136,2790,4549321.0,5661978.0
Mobile App,Manufacturing,Medium,SMB,9,12,49,52,4428,7813321.0,8953930.0
Web App,Manufacturing,Low,SMB,25,13,24,180,12675,13913064.0,14488660.0
Web App,SaaS,Low,Enterprise,29,7,43,185,7308,9132990.0,11242609.0
ERP,FinTech,High,Startup,9,10,10,92,3240,9729339.0,8973707.0
ERP,Manufacturing,Medium,SMB,10,12,24,151,4200,7819556.0,8163050.0
Mobile App,Manufacturing,Low,Startup,26,13,17,44,14196,13570646.0,13261861.0
Data Pipeline,SaaS,Medium,SMB,21,7,22,169,4998,8234274.0,9576265.0
AI Solution,SaaS,Low,Startup,4,8,16,68,1376,2191040.0,2216240.0
ERP,Education,Medium,SMB,21,2,36,124,1386,3873149.0,3954949.0
ERP,Manufacturing,Medium,Enterprise,29,7,16,150,8526,17194016.0,16647962.0
ERP,Manufacturing,Low,Startup,17,3,41,88,1785,3424239.0,3667812.0
Web App,Education,Medium,Startup,28,10,32,85,8960,10413951.0,12408461.0
Data Pipeline,E-commerce,High,SMB,19,11,33,29,8569,16503830.0,16752717.0
Web App,FinTech,Low,Startup,28,12,41,194,11424,14772193.0,15817567.0
ERP,E-commerce,Low,Startup,5,10,41,39,1950,3072922.0,2844870.0
Data Pipeline,FinTech,Medium,Startup,13,5,28,62,2795,5382016.0,5747426.0
AI Solution,Healthcare,Medium,SMB,26,14,20,197,14196,23647477.0,23200887.0
Data Pipeline,Manufacturing,High,Startup,5,2,30,190,390,1923682.0,1815851.0
Web App,Education,Low,SMB,7,2,5,166,616,1053017.0,1265679.0
ERP,Healthcare,High,Startup,12,2,45,108,1008,5110885.0,4805474.0
Data Pipeline,Manufacturing,Medium,SMB,9,3,22,160,1026,2409073.0,2709683.0
Web App,SaaS,Medium,Startup,10,6,23,79,2520,3016084.0,3474027.0
Mobile App,E-commerce,Medium,SMB,13,3,13,22,1326,3155558.0,3906880.0
Mobile App,FinTech,Medium,Startup,8,13,40,34,4160,7588666.0,6983497.0
Data Pipeline,SaaS,Low,Startup,18,6,19,44,3564,6549753.0,7887218.0
Data Pipeline,Education,Low,Startup,18,13,39,155,9126,7596374.0,8220608.0
Web App,Manufacturing,Low,SMB,13,8,17,178,3744,5203422.0,4838926.0
ERP,Education,Low,Enterprise,15,9,49,125,5940,9158820.0,8597716.0
Web App,Healthcare,Low,SMB,29,10,46,91,10730,12353025.0,13998685.0
AI Solution,Education,Medium,SMB,21,4,40,88,3696,5231823.0,5446370.0
Data Pipeline,E-commerce,Medium,SMB,13,10,18,96,5460,7273900.0,7429062.0
Mobile App,E-commerce,Medium,SMB,12,2,15,43,984,3258389.0,3040514.0
Data Pipeline,Manufacturing,Low,SMB,7,4,13,155,840,1958160.0,2048889.0
Mobile App,Education,High,Startup,24,9,42,69,6912,12456333.0,12445803.0
ERP,Healthcare,Medium,Enterprise,26,5,12,169,5330,13010426.0,12675151.0
Mobile App,Manufacturing,Medium,Enterprise,15,2,20,159,1110,4098712.0,4456116.0
Data Pipeline,Education,High,SMB,28,6,24,169,5208,11877591.0,12475786.0
ERP,Healthcare,Low,Startup,26,3,49,85,2964,4683447.0,5252519.0
ERP,Manufacturing,Medium,SMB,26,7,39,169,7280,11289306.0,11879154.0
Web App,Healthcare,Medium,SMB,27,11,34,153,9504,17675121.0,19193435.0
Mobile App,E-commerce,Medium,Startup,23,3,14,44,2139,4639773.0,4904008.0
Data Pipeline,Education,Medium,Startup,28,14,38,155,13328,14266320.0,14785914.0
ERP,SaaS,High,Enterprise,9,14,47,149,5166,10497066.0,12240981.0
Web App,Healthcare,Medium,SMB,27,10,27,102,10260,13003804.0,15661313.0
ERP,FinTech,Medium,Enterprise,20,6,43,143,3960,12762703.0,12545722.0
Data Pipeline,Education,Medium,SMB,6,8,31,111,1680,2621086.0,3262860.0
Mobile App,Manufacturing,Medium,Startup,18,6,14,77,3996,13652277.0,12493366.0
Mobile App,SaaS,High,SMB,6,2,15,168,396,2169797.0,2048141.0
ERP,Healthcare,Medium,Startup,23,14,42,61,10948,19664559.0,19711717.0
Web App,FinTech,High,Startup,4,11,44,40,1804,4132939.0,4170470.0
Web App,Education,Medium,Enterprise,8,13,5,106,3536,9056961.0,8703267.0
AI Solution,FinTech,High,SMB,29,5,15,199,6380,15545808.0,16831038.0
Data Pipeline,Manufacturing,High,Startup,13,7,36,131,3731,8137237.0,7446245.0
Mobile App,E-commerce,Low,SMB,17,10,45,141,6120,6585993.0,7417940.0
Mobile App,Manufacturing,Medium,Enterprise,19,13,38,30,9633,15360772.0,16849416.0
AI Solution,Manufacturing,Medium,SMB,25,5,34,191,4000,9820523.0,9399572.0
Web App,Education,High,Startup,16,6,12,65,3552,5588368.0,6236893.0
AI Solution,FinTech,High,Startup,21,3,33,199,2520,7779809.0,8618233.0
AI Solution,SaaS,Medium,SMB,25,4,27,176,4300,6622530.0,7809390.0
Mobile App,Healthcare,Low,Startup,8,4,5,151,1184,1922163.0,2151806.0
Data Pipeline,Manufacturing,Medium,Startup,12,14,13,183,5880,7260800.0,9038608.0
Web App,Healthcare,Medium,SMB,19,4,35,89,2812,6152793.0,6196106.0
Mobile App,Manufacturing,Medium,Startup,24,7,44,122,5712,7636994.0,8334581.0
Web App,Education,Medium,SMB,8,11,8,139,3784,3633762.0,4503474.0
AI Solution,FinTech,Medium,Startup,27,14,16,49,14742,21615952.0,23191596.0
ERP,Manufacturing,Medium,SMB,21,5,32,66,4200,8126404.0,8198006.0
ERP,E-commerce,Medium,Enterprise,14,8,13,109,3808,7866685.0,9737695.0
Web App,Manufacturing,High,Startup,20,12,49,70,8160,12499451.0,13689414.0
Data Pipeline,Education,High,SMB,8,5,10,109,1320,3494194.0,3379089.0
ERP,Manufacturing,Low,Startup,15,13,35,103,7215,17007822.0,19267605.0
ERP,Manufacturing,Low,Startup,25,11,29,89,11275,23073143.0,23821179.0
Data Pipeline,Education,Medium,SMB,9,3,36,167,999,2285611.0,2469228.0
Web App,SaaS,High,Startup,6,8,30,184,1776,3760776.0,3449598.0
Data Pipeline,FinTech,Low,SMB,13,10,11,105,4680,7033811.0,7635542.0
AI Solution,FinTech,Medium,SMB,5,7,10,117,1050,3291786.0,3806293.0
Mobile App,Healthcare,High,SMB,10,7,16,107,3080,5535000.0,6786523.0
Web App,SaaS,Low,Startup,17,5,26,162,3145,3216328.0,3668893.0
Data Pipeline,FinTech,Medium,SMB,20,3,29,150,2220,5459080.0,5988593.0
Web App,E-commerce,Medium,SMB,22,12,16,93,9768,14097937.0,14234952.0
Web App,Manufacturing,Medium,Startup,23,7,16,149,5796,7531843.0,8854156.0
Web App,Education,Low,Startup,8,13,47,120,3432,3270246.0,3915087.0
AI Solution,Manufacturing,Medium,Enterprise,16,8,25,177,5376,10281855.0,10314446.0
AI Solution,SaaS,Medium,SMB,28,5,38,173,6020,8024602.0,9027088.0
Mobile App,Manufacturing,Medium,Startup,14,3,48,127,1596,2927946.0,3251241.0
Mobile App,SaaS,Low,Startup,4,6,39,199,744,1426664.0,1433337.0
Web App,SaaS,High,Enterprise,6,2,24,144,372,2098520.0,2461710.0
Web App,Education,Low,Enterprise,26,4,8,172,4576,12699827.0,12751485.0
ERP,Education,Low,Enterprise,16,3,37,153,1920,3656828.0,4001559.0
ERP,SaaS,Medium,Startup,17,12,24,132,7752,15385324.0,15198286.0
AI Solution,E-commerce,Medium,Enterprise,23,14,11,82,12236,24302448.0,22887407.0
Data Pipeline,SaaS,Low,Startup,12,2,29,161,960,1796648.0,1833983.0
AI Solution,Education,High,Enterprise,17,7,45,139,5236,10338764.0,11674474.0
ERP,E-commerce,Low,SMB,24,6,9,67,4752,7447428.0,7777409.0
Web App,Education,High,Startup,4,9,49,106,1584,1966872.0,2338015.0
AI Solution,Healthcare,Low,Startup,24,4,42,39,3648,5175863.0,6226472.0
ERP,SaaS,High,Startup,27,3,31,124,2430,6086844.0,7600230.0
Data Pipeline,Education,Medium,Enterprise,22,13,46,112,12012,15456123.0,17480249.0
Web App,SaaS,Medium,Enterprise,20,9,47,167,7380,10594248.0,12239861.0
Mobile App,E-commerce,Low,Startup,27,6,45,36,5994,6192084.0,7654939.0
AI Solution,Manufacturing,High,Startup,17,14,5,187,9758,13998195.0,15953232.0
Data Pipeline,FinTech,High,Enterprise,29,6,12,172,6960,16341329.0,20120636.0
ERP,Healthcare,Low,SMB,4,5,22,166,880,1993442.0,2419068.0
Web App,Healthcare,Medium,SMB,5,4,15,29,860,2324004.0,2188102.0
ERP,Manufacturing,Low,Enterprise,9,4,20,113,1332,3938217.0,4213547.0
Data Pipeline,Healthcare,High,Enterprise,28,8,28,57,9184,19945540.0,24226793.0
Web App,SaaS,High,SMB,15,3,36,175,1845,4860276.0,4986639.0
Mobile App,E-commerce,Medium,SMB,4,9,43,53,1332,6639325.0,6124877.0
AI Solution,SaaS,Medium,Startup,6,12,35,145,2880,3713576.0,4083643.0
ERP,Education,Medium,Startup,20,14,9,177,10360,11121052.0,13402238.0
AI Solution,E-commerce,Low,Startup,18,6,34,189,3672,5615458.0,5959931.0
ERP,Healthcare,High,Enterprise,16,12,21,128,6720,20822631.0,21633645.0
Data Pipeline,E-commerce,High,Startup,5,14,25,193,3080,4627829.0,5118243.0
ERP,SaaS,Medium,SMB,14,5,21,118,2870,4952829.0,5277761.0
Data Pipeline,Education,High,SMB,25,4,31,136,3100,7127093.0,8492766.0
AI Solution,Education,Low,SMB,12,11,16,89,3960,6270654.0,6109448.0
Mobile App,Education,Low,Startup,27,8,19,174,8640,9080534.0,8499701.0
AI Solution,Healthcare,Medium,SMB,18,5,11,128,2880,6595989.0,7079179.0
Web App,FinTech,High,Startup,9,4,9,32,1584,8984033.0,8927641.0
AI Solution,E-commerce,Medium,Startup,24,13,6,188,11544,18451678.0,16817615.0
Mobile App,Healthcare,High,Startup,10,4,5,55,1520,5576259.0,5328087.0
Web App,FinTech,High,SMB,11,8,13,53,3784,15721809.0,16296436.0
ERP,SaaS,High,Startup,22,12,42,35,8184,15507877.0,15322082.0
ERP,Healthcare,Low,SMB,18,13,38,58,7488,13804824.0,12879637.0
Data Pipeline,SaaS,High,SMB,24,14,25,166,11424,21947784.0,21603480.0
Mobile App,Healthcare,High,SMB,23,3,18,197,2829,7474619.0,7713851.0
ERP,SaaS,High,SMB,15,8,35,53,3720,9664520.0,10496539.0
Web App,FinTech,Medium,Startup,25,7,21,106,6475,13850673.0,15477669.0
AI Solution,FinTech,Medium,Startup,5,13,8,119,2015,4868765.0,5331569.0
ERP,E-commerce,Low,SMB,29,14,37,79,16240,17212145.0,19642526.0
AI Solution,SaaS,Low,Startup,14,2,8,194,1064,2323064.0,2338864.0
Mobile App,FinTech,Medium,Enterprise,12,4,22,124,1968,5994411.0,6482271.0
Mobile App,FinTech,Medium,SMB,27,7,37,119,7938,15999908.0,19099413.0
AI Solution,Education,High,Startup,11,7,5,119,2618,4425500.0,5309833.0
Mobile App,SaaS,Low,Enterprise,17,14,41,121,8806,10983182.0,13569091.0
AI Solution,Manufacturing,Medium,SMB,27,14,47,172,12474,17403316.0,18583842.0
Web App,Education,High,Startup,24,11,34,181,8976,16921703.0,17711861.0
ERP,FinTech,Medium,Startup,14,6,40,154,2772,11306826.0,10933841.0
Data Pipeline,Manufacturing,Low,Enterprise,12,14,38,175,7056,11152719.0,10256912.0
Web App,SaaS,Medium,SMB,14,13,26,36,7280,10413009.0,9878031.0
AI Solution,SaaS,Low,Enterprise,11,9,8,114,4059,6004651.0,6662936.0
ERP,FinTech,High,SMB,21,11,9,103,7623,27293028.0,26541209.0
Data Pipeline,Healthcare,Medium,Startup,9,7,22,97,2457,4490767.0,4239818.0
ERP,SaaS,Low,Enterprise,19,12,17,69,9120,12809490.0,12926323.0
ERP,E-commerce,High,SMB,14,6,29,37,2688,15153360.0,14448042.0
Data Pipeline,E-commerce,Medium,SMB,14,6,20,181,3024,5263022.0,5893642.0
Web App,E-commerce,Medium,Startup,27,3,26,112,2835,5516439.0,6041468.0
ERP,Healthcare,High,Startup,13,13,44,85,6084,39081322.0,39131011.0
Mobile App,Education,Low,Startup,5,4,5,179,760,1374368.0,1339175.0
AI Solution,E-commerce,High,SMB,17,2,22,192,1122,5551498.0,5266169.0
Web App,Healthcare,High,Enterprise,26,11,15,60,10868,27785651.0,27678673.0
Web App,SaaS,Medium,SMB,27,4,25,118,4428,8075184.0,7559418.0
Mobile App,SaaS,Medium,SMB,13,5,19,135,2730,4810617.0,4553314.0
ERP,Manufacturing,Low,Startup,18,4,41,148,2304,9703291.0,9400848.0
Mobile App,Education,Low,Enterprise,26,6,27,128,5304,8464818.0,8662945.0
ERP,Manufacturing,Medium,SMB,11,8,43,185,2992,15333588.0,14066820.0
AI Solution,Education,Medium,Enterprise,26,11,34,120,10868,15647207.0,17364766.0
ERP,Manufacturing,Medium,SMB,20,12,35,189,9360,11112467.0,12618426.0
Mobile App,Manufacturing,Low,SMB,23,10,25,120,8050,11873813.0,10876184.0
Mobile App,E-commerce,High,Startup,29,8,21,181,9280,14779712.0,14786457.0
Data Pipeline,E-commerce,Low,SMB,19,14,5,100,8512,12829116.0,11967775.0
Web App,E-commerce,Medium,Startup,17,11,37,33,5797,10042303.0,9608586.0
Web App,FinTech,High,Startup,4,6,31,99,840,2813292.0,2591128.0
AI Solution,E-commerce,High,Startup,7,13,27,21,3367,6671903.0,7464156.0
AI Solution,Healthcare,High,Enterprise,21,5,20,91,4305,16238685.0,17583913.0
Web App,SaaS,Medium,SMB,25,9,37,81,6975,9780989.0,11972191.0
ERP,FinTech,Medium,SMB,18,8,18,166,5040,12609044.0,11649351.0
Web App,FinTech,Low,SMB,13,2,6,25,1014,2520281.0,2491957.0
Web App,FinTech,Medium,Startup,6,11,38,108,2112,4620322.0,4236646.0
AI Solution,E-commerce,Low,Enterprise,12,7,24,127,2688,5287543.0,6572187.0
AI Solution,Manufacturing,Low,SMB,4,7,45,119,1120,1882410.0,2263133.0
Mobile App,SaaS,High,SMB,19,6,26,119,3534,13179137.0,12192968.0
Web App,Education,High,Startup,12,14,46,179,5880,17346835.0,20955658.0
AI Solution,SaaS,High,SMB,18,5,33,142,3420,7746987.0,8035771.0
Web App,Healthcare,Medium,Startup,10,2,27,130,660,1841878.0,2090093.0
Mobile App,E-commerce,Medium,SMB,29,2,15,35,1798,5188219.0,5670276.0
ERP,E-commerce,Low,SMB,6,11,42,84,2376,3937043.0,4320089.0
Web App,SaaS,Medium,SMB,20,13,32,116,9100,21650135.0,20383948.0
AI Solution,Education,High,SMB,21,13,47,56,12012,14432908.0,15466440.0
Web App,SaaS,Medium,SMB,14,7,28,87,4018,5375743.0,5394342.0
Web App,Manufacturing,Low,Startup,8,2,14,111,544,1360098.0,1456426.0
ERP,SaaS,Low,Enterprise,27,11,27,172,10098,22360776.0,25856047.0
Data Pipeline,Education,Medium,Startup,29,8,20,116,6960,9354745.0,9837368.0
Web App,Manufacturing,Medium,Enterprise,15,8,20,177,4560,7807902.0,8456259.0
ERP,SaaS,Low,Startup,5,6,10,127,930,1985697.0,2148417.0
Mobile App,E-commerce,Low,Startup,22,5,38,47,4400,6030519.0,6964724.0
ERP,E-commerce,Medium,SMB,4,4,7,93,592,2537909.0,2747882.0
Web App,Healthcare,Low,Enterprise,19,2,33,58,1406,4894826.0,4580158.0
Mobile App,FinTech,High,SMB,20,12,29,150,10560,23381479.0,21965392.0
ERP,FinTech,Medium,Enterprise,28,7,20,188,6272,17514534.0,18375066.0
AI Solution,Healthcare,Medium,SMB,14,6,34,76,3108,5059331.0,6226137.0
ERP,FinTech,Medium,Enterprise,23,10,49,101,7130,23466993.0,21673234.0
Mobile App,SaaS,Medium,Startup,17,9,8,79,5049,6441917.0,7049839.0
Mobile App,Manufacturing,High,Startup,5,14,19,67,2660,4812262.0,5032052.0
Mobile App,Education,Low,SMB,15,14,11,111,7980,6753367.0,7696414.0
AI Solution,SaaS,Medium,Enterprise,8,6,26,81,1872,4371148.0,4772706.0
AI Solution,FinTech,Low,Startup,15,11,48,158,7260,8113233.0,8694385.0
Mobile App,Manufacturing,Medium,Startup,9,10,7,185,2880,4361054.0,5087094.0
Mobile App,Manufacturing,Low,SMB,25,11,43,151,9900,13507718.0,13186603.0
Web App,Education,Low,SMB,25,7,25,115,5600,7962824.0,7692571.0
Web App,Manufacturing,High,Startup,10,9,17,165,2790,7146539.0,6555381.0
AI Solution,Education,High,Enterprise,13,4,49,110,1664,7251603.0,6662947.0
AI Solution,E-commerce,High,SMB,19,6,39,105,3990,8448501.0,9464127.0
AI Solution,Healthcare,Medium,SMB,24,14,14,102,12768,18974373.0,18920683.0
Data Pipeline,E-commerce,Medium,SMB,26,9,15,129,7254,14970673.0,13625939.0
ERP,Healthcare,Medium,Enterprise,23,7,29,33,6440,17800408.0,16807228.0
AI Solution,SaaS,Medium,Startup,28,10,14,169,8960,12422207.0,14423463.0
Mobile App,FinTech,High,Startup,23,3,37,138,2760,8895499.0,8173936.0
AI Solution,Education,Medium,SMB,16,3,41,196,1680,5701643.0,5828561.0
ERP,SaaS,Medium,Startup,23,5,20,193,4945,7447953.0,7410632.0
AI Solution,SaaS,High,Enterprise,12,4,24,56,1872,7652800.0,7071312.0
Data Pipeline,Manufacturing,Low,Startup,24,8,16,196,5760,8028253.0,8767539.0
Mobile App,Education,Low,SMB,21,7,28,157,4851,5255748.0,6184640.0
ERP,E-commerce,Medium,Startup,27,13,14,58,14391,15324626.0,17754260.0
ERP,Healthcare,Medium,Enterprise,27,8,26,149,9504,15854679.0,18848935.0
Mobile App,Manufacturing,Medium,Startup,26,2,5,76,1872,4252331.0,4179187.0
Mobile App,E-commerce,High,SMB,13,8,43,32,3120,18436216.0,19586736.0
Web App,Education,Medium,Enterprise,10,10,39,67,3100,5893647.0,6176822.0
